"ts","soc"
2024-02-18 12:00:00.000,100
2024-02-18 12:05:00.000,100
2024-02-18 12:10:00.000,100
2024-02-18 12:15:00.000,100
2024-02-18 12:20:00.000,100
2024-02-18 12:25:00.000,100
2024-02-18 12:30:00.000,100
2024-02-18 12:35:00.000,100
2024-02-18 12:40:00.000,100
2024-02-18 12:45:00.000,100
2024-02-18 12:50:00.000,100
2024-02-18 12:55:00.000,100
2024-02-18 13:00:00.000,100
2024-02-18 13:02:00.000,100
2024-02-18 13:05:00.000,100
2024-02-18 13:10:00.000,100
2024-02-18 13:15:00.000,100
2024-02-18 13:20:00.000,100
2024-02-18 13:24:00.000,100
2024-02-18 13:25:00.000,100
2024-02-18 13:30:00.000,100
2024-02-18 13:35:00.000,100
2024-02-18 13:40:00.000,100
2024-02-18 13:45:00.000,100
2024-02-18 13:50:00.000,100
2024-02-18 13:55:00.000,100
2024-02-18 14:00:00.000,100
2024-02-18 14:05:00.000,100
2024-02-18 14:10:00.000,100
2024-02-18 14:15:00.000,100
2024-02-18 14:20:00.000,100
2024-02-18 14:22:00.000,100
2024-02-18 14:25:00.000,99
2024-02-18 14:30:00.000,100
2024-02-18 14:35:00.000,100
2024-02-18 14:40:00.000,100
2024-02-18 14:45:00.000,100
2024-02-18 14:47:00.000,100
2024-02-18 14:50:00.000,100
2024-02-18 14:55:00.000,100
2024-02-18 15:00:00.000,100
2024-02-18 15:05:00.000,100
2024-02-18 15:10:00.000,100
2024-02-18 15:15:00.000,100
2024-02-18 15:20:00.000,100
2024-02-18 15:25:00.000,100
2024-02-18 15:30:00.000,100
2024-02-18 15:35:00.000,99
2024-02-18 15:40:00.000,99
2024-02-18 15:45:00.000,99
2024-02-18 15:50:00.000,98
2024-02-18 15:55:00.000,98
2024-02-18 16:00:00.000,98
2024-02-18 16:05:00.000,97
2024-02-18 16:10:00.000,97
2024-02-18 16:15:00.000,96
2024-02-18 16:20:00.000,96
2024-02-18 16:25:00.000,95
2024-02-18 16:30:00.000,95
2024-02-18 16:35:00.000,94
2024-02-18 16:38:00.000,94
2024-02-18 16:40:00.000,94
2024-02-18 16:42:00.000,94
2024-02-18 16:45:00.000,93
2024-02-18 16:50:00.000,93
2024-02-18 16:55:00.000,92
2024-02-18 17:00:00.000,91
2024-02-18 17:01:00.000,91
2024-02-18 17:05:00.000,91
2024-02-18 17:10:00.000,90
2024-02-18 17:15:00.000,89
2024-02-18 17:20:00.000,88
2024-02-18 17:25:00.000,88
2024-02-18 17:30:00.000,87
2024-02-18 17:35:00.000,86
2024-02-18 17:40:00.000,86
2024-02-18 17:45:00.000,85
2024-02-18 17:50:00.000,84
2024-02-18 17:55:00.000,84
2024-02-18 17:56:00.000,83
2024-02-18 18:00:00.000,83
2024-02-18 18:05:00.000,82
2024-02-18 18:10:00.000,81
2024-02-18 18:15:00.000,81
2024-02-18 18:20:00.000,80
2024-02-18 18:25:00.000,79
2024-02-18 18:30:00.000,79
2024-02-18 18:35:00.000,78
2024-02-18 18:40:00.000,77
2024-02-18 18:45:00.000,77
2024-02-18 18:50:00.000,76
2024-02-18 18:55:00.000,75
2024-02-18 19:00:00.000,75
2024-02-18 19:05:00.000,74
2024-02-18 19:10:00.000,73
2024-02-18 19:15:00.000,73
2024-02-18 19:20:00.000,72
2024-02-18 19:25:00.000,71
2024-02-18 19:30:00.000,71
2024-02-18 19:35:00.000,70
2024-02-18 19:38:00.000,70
2024-02-18 19:40:00.000,70
2024-02-18 19:45:00.000,69
2024-02-18 19:46:00.000,69
2024-02-18 19:47:00.000,69
2024-02-18 19:50:00.000,69
2024-02-18 19:55:00.000,68
2024-02-18 20:00:00.000,68
2024-02-18 20:05:00.000,67
2024-02-18 20:07:00.000,67
2024-02-18 20:09:00.000,67
2024-02-18 20:10:00.000,67
2024-02-18 20:15:00.000,66
2024-02-18 20:20:00.000,66
2024-02-18 20:25:00.000,65
2024-02-18 20:30:00.000,65
2024-02-18 20:35:00.000,64
2024-02-18 20:40:00.000,64
2024-02-18 20:43:00.000,64
2024-02-18 20:45:00.000,63
2024-02-18 20:50:00.000,63
2024-02-18 20:53:00.000,63
2024-02-18 20:54:00.000,63
2024-02-18 20:55:00.000,62
2024-02-18 21:00:00.000,62
2024-02-18 21:05:00.000,61
2024-02-18 21:10:00.000,61
2024-02-18 21:12:00.000,61
2024-02-18 21:15:00.000,61
2024-02-18 21:20:00.000,60
2024-02-18 21:25:00.000,60
2024-02-18 21:30:00.000,59
2024-02-18 21:35:00.000,59
2024-02-18 21:39:00.000,58
2024-02-18 21:40:00.000,58
2024-02-18 21:45:00.000,58
2024-02-18 21:50:00.000,57
2024-02-18 21:51:00.000,57
2024-02-18 21:53:00.000,57
2024-02-18 21:55:00.000,57
2024-02-18 21:59:00.000,57
2024-02-18 22:00:00.000,57
2024-02-18 22:05:00.000,56
2024-02-18 22:06:00.000,56
2024-02-18 22:10:00.000,56
2024-02-18 22:15:00.000,55
2024-02-18 22:20:00.000,55
2024-02-18 22:24:00.000,54
2024-02-18 22:25:00.000,54
2024-02-18 22:30:00.000,54
2024-02-18 22:31:00.000,54
2024-02-18 22:35:00.000,53
2024-02-18 22:37:00.000,53
2024-02-18 22:40:00.000,53
2024-02-18 22:41:00.000,53
2024-02-18 22:45:00.000,52
2024-02-18 22:46:00.000,52
2024-02-18 22:50:00.000,52
2024-02-18 22:53:00.000,52
2024-02-18 22:55:00.000,52
2024-02-18 23:00:00.000,51
2024-02-18 23:05:00.000,51
2024-02-18 23:10:00.000,50
2024-02-18 23:15:00.000,50
2024-02-18 23:20:00.000,49
2024-02-18 23:22:00.000,49
2024-02-18 23:23:00.000,49
2024-02-18 23:25:00.000,49
2024-02-18 23:30:00.000,48
2024-02-18 23:35:00.000,48
2024-02-18 23:40:00.000,48
2024-02-18 23:45:00.000,47
2024-02-18 23:50:00.000,47
2024-02-18 23:55:00.000,46
2024-02-19 00:00:00.000,46
2024-02-19 00:05:00.000,45
2024-02-19 00:10:00.000,45
2024-02-19 00:15:00.000,44
2024-02-19 00:20:00.000,44
2024-02-19 00:25:00.000,44
2024-02-19 00:30:00.000,43
2024-02-19 00:35:00.000,43
2024-02-19 00:40:00.000,42
2024-02-19 00:45:00.000,42
2024-02-19 00:47:00.000,42
2024-02-19 00:50:00.000,41
2024-02-19 00:55:00.000,41
2024-02-19 00:57:00.000,41
2024-02-19 01:00:00.000,40
2024-02-19 01:05:00.000,40
2024-02-19 01:10:00.000,39
2024-02-19 01:15:00.000,39
2024-02-19 01:20:00.000,39
2024-02-19 01:25:00.000,38
2024-02-19 01:30:00.000,38
2024-02-19 01:35:00.000,37
2024-02-19 01:40:00.000,37
2024-02-19 01:45:00.000,36
2024-02-19 01:50:00.000,36
2024-02-19 01:55:00.000,36
2024-02-19 02:00:00.000,35
2024-02-19 02:05:00.000,35
2024-02-19 02:10:00.000,34
2024-02-19 02:15:00.000,34
2024-02-19 02:20:00.000,33
2024-02-19 02:25:00.000,33
2024-02-19 02:30:00.000,32
2024-02-19 02:35:00.000,32
2024-02-19 02:40:00.000,32
2024-02-19 02:45:00.000,31
2024-02-19 02:50:00.000,31
2024-02-19 02:55:00.000,30
2024-02-19 03:00:00.000,30
2024-02-19 03:05:00.000,29
2024-02-19 03:10:00.000,29
2024-02-19 03:15:00.000,29
2024-02-19 03:20:00.000,28
2024-02-19 03:25:00.000,28
2024-02-19 03:29:00.000,27
2024-02-19 03:30:00.000,27
2024-02-19 03:35:00.000,27
2024-02-19 03:40:00.000,26
2024-02-19 03:45:00.000,26
2024-02-19 03:50:00.000,25
2024-02-19 03:55:00.000,25
2024-02-19 04:00:00.000,24
2024-02-19 04:05:00.000,24
2024-02-19 04:10:00.000,24
2024-02-19 04:15:00.000,23
2024-02-19 04:16:00.000,23
2024-02-19 04:17:00.000,23
2024-02-19 04:20:00.000,23
2024-02-19 04:25:00.000,23
2024-02-19 04:30:00.000,22
2024-02-19 04:35:00.000,21
2024-02-19 04:40:00.000,20
2024-02-19 04:41:00.000,20
2024-02-19 04:43:00.000,20
2024-02-19 04:45:00.000,20
2024-02-19 04:46:00.000,20
2024-02-19 04:49:00.000,20
2024-02-19 04:50:00.000,20
2024-02-19 04:54:00.000,19
2024-02-19 04:55:00.000,19
2024-02-19 04:57:00.000,19
2024-02-19 05:00:00.000,19
2024-02-19 05:03:00.000,19
2024-02-19 05:04:00.000,19
2024-02-19 05:05:00.000,19
2024-02-19 05:08:00.000,19
2024-02-19 05:09:00.000,19
2024-02-19 05:10:00.000,19
2024-02-19 05:11:00.000,18
2024-02-19 05:15:00.000,18
2024-02-19 05:20:00.000,18
2024-02-19 05:23:00.000,18.5
2024-02-19 05:24:00.000,19
2024-02-19 05:25:00.000,19
2024-02-19 05:30:00.000,19
2024-02-19 05:35:00.000,19
2024-02-19 05:40:00.000,20
2024-02-19 05:45:00.000,20.2
2024-02-19 05:50:00.000,21
2024-02-19 05:55:00.000,22
2024-02-19 05:58:00.000,23
2024-02-19 05:59:00.000,23
2024-02-19 06:00:00.000,24
2024-02-19 06:01:00.000,24
2024-02-19 06:05:00.000,24
2024-02-19 06:08:00.000,25
2024-02-19 06:10:00.000,26
2024-02-19 06:15:00.000,28
2024-02-19 06:20:00.000,29
2024-02-19 06:25:00.000,31
2024-02-19 06:30:00.000,34
2024-02-19 06:35:00.000,36
2024-02-19 06:40:00.000,39
2024-02-19 06:45:00.000,42
2024-02-19 06:50:00.000,45
2024-02-19 06:55:00.000,48
2024-02-19 07:00:00.000,52
2024-02-19 07:05:00.000,55
2024-02-19 07:10:00.000,58
2024-02-19 07:13:00.000,60.3
2024-02-19 07:15:00.000,62
2024-02-19 07:20:00.000,65
2024-02-19 07:25:00.000,69
2024-02-19 07:30:00.000,72
2024-02-19 07:35:00.000,75
2024-02-19 07:40:00.000,79
2024-02-19 07:44:00.000,82
2024-02-19 07:45:00.000,84
2024-02-19 07:50:00.000,88
2024-02-19 07:55:00.000,91
2024-02-19 08:00:00.000,91
2024-02-19 08:05:00.000,92
2024-02-19 08:10:00.000,93
2024-02-19 08:15:00.000,93
2024-02-19 08:20:00.000,96
2024-02-19 08:25:00.000,97
2024-02-19 08:30:00.000,99
2024-02-19 08:31:00.000,99
2024-02-19 08:35:00.000,99
2024-02-19 08:40:00.000,99
2024-02-19 08:45:00.000,99
2024-02-19 08:50:00.000,99
2024-02-19 08:55:00.000,100
2024-02-19 09:00:00.000,100
2024-02-19 09:05:00.000,100
2024-02-19 09:09:00.000,100
2024-02-19 09:10:00.000,100
2024-02-19 09:15:00.000,100
2024-02-19 09:20:00.000,100
2024-02-19 09:25:00.000,100
2024-02-19 09:30:00.000,100
2024-02-19 09:31:00.000,100
2024-02-19 09:35:00.000,100
2024-02-19 09:37:00.000,100
2024-02-19 09:39:00.000,100
2024-02-19 09:40:00.000,100
2024-02-19 09:45:00.000,100
2024-02-19 09:50:00.000,100
2024-02-19 09:52:00.000,100
2024-02-19 09:53:00.000,100
2024-02-19 09:55:00.000,100
2024-02-19 09:59:00.000,100
2024-02-19 10:00:00.000,100
2024-02-19 10:05:00.000,100
2024-02-19 10:10:00.000,100
2024-02-19 10:13:00.000,100
2024-02-19 10:15:00.000,100
2024-02-19 10:20:00.000,100
2024-02-19 10:25:00.000,100
2024-02-19 10:30:00.000,100
2024-02-19 10:35:00.000,100
2024-02-19 10:40:00.000,100
2024-02-19 10:44:00.000,100
2024-02-19 10:45:00.000,100
2024-02-19 10:50:00.000,100
2024-02-19 10:55:00.000,100
2024-02-19 11:00:00.000,100
2024-02-19 11:05:00.000,100
2024-02-19 11:10:00.000,100
2024-02-19 11:15:00.000,100
2024-02-19 11:20:00.000,100
2024-02-19 11:25:00.000,100
2024-02-19 11:30:00.000,100
2024-02-19 11:35:00.000,100
2024-02-19 11:40:00.000,100
2024-02-19 11:45:00.000,100
2024-02-19 11:50:00.000,100
2024-02-19 11:55:00.000,100
2024-02-19 12:00:00.000,100
2024-02-19 12:05:00.000,100
2024-02-19 12:09:00.000,100
2024-02-19 12:10:00.000,100
2024-02-19 12:15:00.000,100
2024-02-19 12:20:00.000,100
2024-02-19 12:25:00.000,100
2024-02-19 12:27:00.000,100
2024-02-19 12:30:00.000,100
2024-02-19 12:35:00.000,100
2024-02-19 12:40:00.000,100
2024-02-19 12:45:00.000,100
2024-02-19 12:50:00.000,100
2024-02-19 12:55:00.000,100
2024-02-19 13:00:00.000,100
2024-02-19 13:05:00.000,100
2024-02-19 13:10:00.000,100
2024-02-19 13:15:00.000,100
2024-02-19 13:20:00.000,100
2024-02-19 13:23:00.000,100
2024-02-19 13:25:00.000,100
2024-02-19 13:30:00.000,100
2024-02-19 13:35:00.000,100
2024-02-19 13:40:00.000,100
2024-02-19 13:45:00.000,100
2024-02-19 13:50:00.000,100
2024-02-19 13:55:00.000,100
2024-02-19 13:57:00.000,100
2024-02-19 14:00:00.000,100
2024-02-19 14:05:00.000,100
2024-02-19 14:10:00.000,100
2024-02-19 14:15:00.000,100
2024-02-19 14:20:00.000,100
2024-02-19 14:25:00.000,100
2024-02-19 14:30:00.000,100
2024-02-19 14:35:00.000,100
2024-02-19 14:40:00.000,100
2024-02-19 14:45:00.000,100
2024-02-19 14:50:00.000,100
2024-02-19 14:55:00.000,100
2024-02-19 15:00:00.000,100
2024-02-19 15:05:00.000,100
2024-02-19 15:10:00.000,100
2024-02-19 15:15:00.000,100
2024-02-19 15:20:00.000,100
2024-02-19 15:25:00.000,99
2024-02-19 15:30:00.000,99
2024-02-19 15:35:00.000,99
2024-02-19 15:40:00.000,99
2024-02-19 15:45:00.000,99
2024-02-19 15:50:00.000,99
2024-02-19 15:55:00.000,98
2024-02-19 16:00:00.000,98
2024-02-19 16:05:00.000,98
2024-02-19 16:10:00.000,97
2024-02-19 16:15:00.000,97
2024-02-19 16:20:00.000,97
2024-02-19 16:25:00.000,96
2024-02-19 16:29:00.000,96
2024-02-19 16:30:00.000,96
2024-02-19 16:31:00.000,96
2024-02-19 16:34:00.000,95
2024-02-19 16:35:00.000,95
2024-02-19 16:40:00.000,95
2024-02-19 16:43:00.000,94
2024-02-19 16:45:00.000,94
2024-02-19 16:49:00.000,94
2024-02-19 16:50:00.000,93.5
2024-02-19 16:54:00.000,93
2024-02-19 16:55:00.000,93
2024-02-19 17:00:00.000,92
2024-02-19 17:01:00.000,92
2024-02-19 17:05:00.000,92
2024-02-19 17:10:00.000,91
2024-02-19 17:14:00.000,90
2024-02-19 17:15:00.000,90
2024-02-19 17:16:00.000,90
2024-02-19 17:18:00.000,90
2024-02-19 17:20:00.000,90
2024-02-19 17:25:00.000,89
2024-02-19 17:30:00.000,88
2024-02-19 17:34:00.000,88
2024-02-19 17:35:00.000,88
2024-02-19 17:39:00.000,87
2024-02-19 17:40:00.000,87
2024-02-19 17:41:00.000,87
2024-02-19 17:44:00.000,86
2024-02-19 17:45:00.000,86
2024-02-19 17:46:00.000,86
2024-02-19 17:47:00.000,86
2024-02-19 17:50:00.000,86
2024-02-19 17:55:00.000,85
2024-02-19 18:00:00.000,85
2024-02-19 18:03:00.000,84
2024-02-19 18:05:00.000,84
2024-02-19 18:08:00.000,84
2024-02-19 18:10:00.000,83
2024-02-19 18:15:00.000,83
2024-02-19 18:19:00.000,82
2024-02-19 18:20:00.000,82
2024-02-19 18:25:00.000,81
2024-02-19 18:27:00.000,81
2024-02-19 18:30:00.000,81
2024-02-19 18:32:00.000,81
2024-02-19 18:35:00.000,80
2024-02-19 18:40:00.000,80
2024-02-19 18:45:00.000,79
2024-02-19 18:46:00.000,79
2024-02-19 18:50:00.000,78
2024-02-19 18:55:00.000,78
2024-02-19 19:00:00.000,77
2024-02-19 19:05:00.000,76
2024-02-19 19:10:00.000,76
2024-02-19 19:15:00.000,75
2024-02-19 19:20:00.000,74
2024-02-19 19:25:00.000,74
2024-02-19 19:30:00.000,73
2024-02-19 19:35:00.000,72
2024-02-19 19:40:00.000,72
2024-02-19 19:41:00.000,72
2024-02-19 19:45:00.000,71
2024-02-19 19:50:00.000,71
2024-02-19 19:55:00.000,70
2024-02-19 20:00:00.000,69
2024-02-19 20:05:00.000,69
2024-02-19 20:10:00.000,68
2024-02-19 20:15:00.000,68
2024-02-19 20:20:00.000,67
2024-02-19 20:25:00.000,67
2024-02-19 20:30:00.000,66
2024-02-19 20:35:00.000,65
2024-02-19 20:40:00.000,65
2024-02-19 20:45:00.000,64
2024-02-19 20:50:00.000,64
2024-02-19 20:51:00.000,64
2024-02-19 20:54:00.000,63
2024-02-19 20:55:00.000,63
2024-02-19 21:00:00.000,63
2024-02-19 21:05:00.000,62
2024-02-19 21:10:00.000,62
2024-02-19 21:15:00.000,62
2024-02-19 21:20:00.000,61
2024-02-19 21:25:00.000,61
2024-02-19 21:30:00.000,60
2024-02-19 21:35:00.000,60
2024-02-19 21:40:00.000,59
2024-02-19 21:45:00.000,59
2024-02-19 21:50:00.000,59
2024-02-19 21:55:00.000,58
2024-02-19 22:00:00.000,58
2024-02-19 22:05:00.000,58
2024-02-19 22:10:00.000,57
2024-02-19 22:15:00.000,57
2024-02-19 22:20:00.000,56
2024-02-19 22:21:00.000,56
2024-02-19 22:25:00.000,56
2024-02-19 22:30:00.000,56
2024-02-19 22:35:00.000,55
2024-02-19 22:40:00.000,55
2024-02-19 22:45:00.000,54
2024-02-19 22:50:00.000,54
2024-02-19 22:55:00.000,54
2024-02-19 23:00:00.000,53
2024-02-19 23:05:00.000,53
2024-02-19 23:10:00.000,52
2024-02-19 23:15:00.000,52
2024-02-19 23:20:00.000,52
2024-02-19 23:25:00.000,51
2024-02-19 23:30:00.000,51
2024-02-19 23:35:00.000,50
2024-02-19 23:40:00.000,50
2024-02-19 23:45:00.000,50
2024-02-19 23:47:00.000,50
2024-02-19 23:50:00.000,49
2024-02-19 23:55:00.000,49
2024-02-20 00:00:00.000,48
2024-02-20 00:05:00.000,48
2024-02-20 00:10:00.000,48
2024-02-20 00:13:00.000,47
2024-02-20 00:15:00.000,47
2024-02-20 00:20:00.000,47
2024-02-20 00:25:00.000,46
2024-02-20 00:27:00.000,46
2024-02-20 00:30:00.000,46
2024-02-20 00:35:00.000,46
2024-02-20 00:36:00.000,46
2024-02-20 00:40:00.000,45
2024-02-20 00:45:00.000,45
2024-02-20 00:50:00.000,45
2024-02-20 00:55:00.000,44
2024-02-20 01:00:00.000,44
2024-02-20 01:05:00.000,43
2024-02-20 01:10:00.000,43
2024-02-20 01:15:00.000,43
2024-02-20 01:20:00.000,42
2024-02-20 01:25:00.000,42
2024-02-20 01:30:00.000,41
2024-02-20 01:35:00.000,41
2024-02-20 01:40:00.000,41
2024-02-20 01:45:00.000,40
2024-02-20 01:50:00.000,40
2024-02-20 01:55:00.000,39
2024-02-20 02:00:00.000,39
2024-02-20 02:05:00.000,39
2024-02-20 02:10:00.000,38
2024-02-20 02:15:00.000,38
2024-02-20 02:20:00.000,37
2024-02-20 02:25:00.000,37
2024-02-20 02:30:00.000,37
2024-02-20 02:35:00.000,36
2024-02-20 02:40:00.000,36
2024-02-20 02:45:00.000,35
2024-02-20 02:50:00.000,35
2024-02-20 02:55:00.000,35
2024-02-20 03:00:00.000,34
2024-02-20 03:05:00.000,34
2024-02-20 03:10:00.000,33
2024-02-20 03:15:00.000,33
2024-02-20 03:20:00.000,33
2024-02-20 03:25:00.000,32
2024-02-20 03:30:00.000,32
2024-02-20 03:33:00.000,32
2024-02-20 03:35:00.000,31
2024-02-20 03:40:00.000,31
2024-02-20 03:42:00.000,31
2024-02-20 03:45:00.000,30
2024-02-20 03:50:00.000,30
2024-02-20 03:55:00.000,29
2024-02-20 04:00:00.000,29
2024-02-20 04:05:00.000,28
2024-02-20 04:10:00.000,28
2024-02-20 04:15:00.000,27
2024-02-20 04:20:00.000,27
2024-02-20 04:23:00.000,27
2024-02-20 04:25:00.000,27
2024-02-20 04:30:00.000,26
2024-02-20 04:35:00.000,25
2024-02-20 04:36:00.000,25
2024-02-20 04:39:00.000,24
2024-02-20 04:40:00.000,24
2024-02-20 04:42:00.000,24
2024-02-20 04:44:00.000,24
2024-02-20 04:45:00.000,24
2024-02-20 04:50:00.000,23
2024-02-20 04:55:00.000,22
2024-02-20 05:00:00.000,22
2024-02-20 05:05:00.000,22
2024-02-20 05:10:00.000,21
2024-02-20 05:15:00.000,21
2024-02-20 05:20:00.000,21
2024-02-20 05:25:00.000,21
2024-02-20 05:30:00.000,21
2024-02-20 05:31:00.000,21
2024-02-20 05:35:00.000,21
2024-02-20 05:40:00.000,21
2024-02-20 05:45:00.000,22
2024-02-20 05:50:00.000,23
2024-02-20 05:55:00.000,24
2024-02-20 06:00:00.000,25
2024-02-20 06:05:00.000,26
2024-02-20 06:10:00.000,27
2024-02-20 06:15:00.000,28
2024-02-20 06:20:00.000,30
2024-02-20 06:25:00.000,31
2024-02-20 06:30:00.000,32
2024-02-20 06:35:00.000,34
2024-02-20 06:40:00.000,37
2024-02-20 06:45:00.000,40
2024-02-20 06:50:00.000,43
2024-02-20 06:55:00.000,46
2024-02-20 07:00:00.000,50
2024-02-20 07:05:00.000,53
2024-02-20 07:09:00.000,56
2024-02-20 07:10:00.000,57
2024-02-20 07:15:00.000,60
2024-02-20 07:20:00.000,64
2024-02-20 07:25:00.000,66
2024-02-20 07:30:00.000,69
2024-02-20 07:35:00.000,71
2024-02-20 07:40:00.000,74
2024-02-20 07:45:00.000,77
2024-02-20 07:50:00.000,81
2024-02-20 07:55:00.000,84
2024-02-20 08:00:00.000,89
2024-02-20 08:05:00.000,93
2024-02-20 08:09:00.000,93
2024-02-20 08:10:00.000,93
2024-02-20 08:15:00.000,93
2024-02-20 08:20:00.000,93
2024-02-20 08:25:00.000,94
2024-02-20 08:30:00.000,95
2024-02-20 08:35:00.000,97
2024-02-20 08:40:00.000,98
2024-02-20 08:42:00.000,99
2024-02-20 08:45:00.000,99
2024-02-20 08:50:00.000,99
2024-02-20 08:55:00.000,99
2024-02-20 09:00:00.000,99
2024-02-20 09:05:00.000,99
2024-02-20 09:10:00.000,99
2024-02-20 09:12:00.000,99
2024-02-20 09:15:00.000,99
2024-02-20 09:20:00.000,99
2024-02-20 09:25:00.000,99
2024-02-20 09:30:00.000,100
2024-02-20 09:35:00.000,100
2024-02-20 09:40:00.000,100
2024-02-20 09:45:00.000,100
2024-02-20 09:50:00.000,99
2024-02-20 09:55:00.000,99
2024-02-20 10:00:00.000,99
2024-02-20 10:05:00.000,99
2024-02-20 10:10:00.000,99
2024-02-20 10:15:00.000,99
2024-02-20 10:20:00.000,99
2024-02-20 10:25:00.000,99
2024-02-20 10:30:00.000,99
2024-02-20 10:35:00.000,99
2024-02-20 10:40:00.000,100
2024-02-20 10:45:00.000,100
2024-02-20 10:50:00.000,100
2024-02-20 10:52:00.000,100
2024-02-20 10:55:00.000,100
2024-02-20 11:00:00.000,100
2024-02-20 11:05:00.000,100
2024-02-20 11:10:00.000,100
2024-02-20 11:15:00.000,100
2024-02-20 11:20:00.000,100
2024-02-20 11:25:00.000,100
2024-02-20 11:30:00.000,100
2024-02-20 11:35:00.000,100
2024-02-20 11:40:00.000,100
2024-02-20 11:45:00.000,100
2024-02-20 11:50:00.000,100
2024-02-20 11:55:00.000,100
2024-02-20 12:00:00.000,100
2024-02-20 12:04:00.000,100
2024-02-20 12:05:00.000,100
2024-02-20 12:10:00.000,100
2024-02-20 12:15:00.000,100
2024-02-20 12:20:00.000,100
2024-02-20 12:25:00.000,100
2024-02-20 12:30:00.000,100
2024-02-20 12:35:00.000,100
2024-02-20 12:40:00.000,100
2024-02-20 12:45:00.000,100
2024-02-20 12:50:00.000,100
2024-02-20 12:55:00.000,100
2024-02-20 13:00:00.000,100
2024-02-20 13:05:00.000,100
2024-02-20 13:10:00.000,100
2024-02-20 13:15:00.000,100
